,0
0,110.10289144515991
1,110.10289144515991
2,110.10289144515991
3,110.10289144515991
4,106.41277837753296
5,106.41277837753296
6,106.41277837753296
7,106.41277837753296
8,106.41277837753296
9,106.41277837753296
10,106.41277837753296
11,102.71691727638245
12,99.02624845504761
13,99.02624845504761
14,99.02624845504761
15,99.02624845504761
16,99.02624845504761
17,88.13765096664429
18,88.13765096664429
19,88.13765096664429
20,88.13765096664429
21,84.44434309005737
22,84.44434309005737
23,84.44434309005737
24,84.44434309005737
25,84.44434309005737
26,84.44434309005737
27,84.44434309005737
28,73.47527933120728
29,73.47527933120728
30,84.47527933120728
31,84.47527933120728
32,84.47527933120728
33,84.47527933120728
34,84.47527933120728
35,84.47527933120728
36,84.47527933120728
37,84.47527933120728
38,84.47527933120728
39,84.47527933120728
40,84.47527933120728
41,84.47527933120728
42,84.47527933120728
43,84.47527933120728
44,84.47527933120728
45,84.47527933120728
46,84.47527933120728
47,84.47527933120728
48,84.47527933120728
49,73.47527933120728
50,73.47527933120728
51,73.47527933120728
52,73.47527933120728
53,73.47527933120728
54,69.7769947052002
55,69.7769947052002
56,69.7769947052002
57,69.7769947052002
58,69.7769947052002
59,69.7769947052002
60,66.09031653404236
61,51.43994855880737
62,51.43994855880737
63,51.43994855880737
64,51.43994855880737
65,51.43994855880737
66,51.43994855880737
67,51.43994855880737
68,51.43994855880737
69,51.43994855880737
70,51.43994855880737
71,51.43994855880737
72,51.43994855880737
73,51.43994855880737
74,51.43994855880737
75,62.34040403366089
76,73.30385637283325
77,73.30385637283325
78,76.9909303188324
79,73.31165170669556
80,73.31165170669556
81,62.32740545272827
82,62.32740545272827
83,62.32740545272827
84,62.32740545272827
85,62.32740545272827
86,62.32740545272827
87,62.32740545272827
88,62.32740545272827
89,62.32740545272827
90,62.32740545272827
91,62.32740545272827
92,62.32740545272827
93,62.32740545272827
94,62.32740545272827
95,62.32740545272827
96,62.32740545272827
97,62.32740545272827
98,62.32740545272827
99,62.32740545272827
100,51.39540719985962
101,71.26771974563599
102,71.26771974563599
103,71.26771974563599
104,71.26771974563599
105,71.26771974563599
106,71.26771974563599
107,71.26771974563599
108,67.57187533378601
109,47.699562788009644
110,47.699562788009644
111,44.006226539611816
112,44.006226539611816
113,44.006226539611816
114,33.04277420043945
115,33.04277420043945
116,33.04277420043945
117,29.35947608947754
118,29.35947608947754
119,29.35947608947754
120,29.35947608947754
121,29.35947608947754
122,29.35947608947754
123,29.35947608947754
124,29.35947608947754
125,29.35947608947754
126,29.35947608947754
127,29.35947608947754
128,29.35947608947754
129,29.35947608947754
130,29.35947608947754
131,29.35947608947754
132,29.35947608947754
133,50.32777214050293
134,50.32777214050293
135,46.638128995895386
136,46.638128995895386
137,46.638128995895386
138,25.669832944869995
139,25.669832944869995
140,25.669832944869995
141,25.669832944869995
142,25.669832944869995
143,25.669832944869995
144,25.669832944869995
145,25.669832944869995
146,25.669832944869995
147,25.669832944869995
148,25.669832944869995
149,25.669832944869995
150,25.669832944869995
151,25.669832944869995
152,25.669832944869995
153,25.669832944869995
154,25.669832944869995
155,25.669832944869995
156,25.669832944869995
157,25.669832944869995
158,25.669832944869995
159,25.669832944869995
160,25.669832944869995
161,25.653155088424683
162,25.653155088424683
163,25.653155088424683
164,25.653155088424683
165,25.653155088424683
166,25.653155088424683
167,25.653155088424683
168,25.653155088424683
169,25.653155088424683
170,25.653155088424683
171,25.653155088424683
172,25.653155088424683
173,25.653155088424683
174,21.964388132095337
175,21.964388132095337
176,21.964388132095337
