,0
0,0.36500000000000027
1,5723.59646483845
2,0.36500000000000027
3,0.36500000000000027
4,7957.995600708023
5,14186.85875561153
6,20632.876868761276
7,20320.235135028517
8,20320.235135028517
9,20320.235135028517
10,27899.040354038036
11,27899.040354038036
12,27899.040354038036
13,41026.945214032436
14,41026.945214032436
15,46387.079792878096
16,46387.079792878096
17,52952.958735111344
18,51035.811343824695
19,56492.39753980741
20,56492.39753980741
21,56492.39753980741
22,56492.39753980741
23,69582.85363410208
24,82255.5100581776
25,99337.2771665945
26,93334.10598729033
27,99507.05267939935
28,99507.05267939935
29,111354.37334322733
30,125707.22083703015
31,118263.14460067084
32,132750.08316100185
33,127183.200423
34,125300.3994080559
35,118523.19295744284
36,121058.14048353143
37,121058.14048353143
38,114492.26154129818
39,109312.52249511596
40,104009.55968299098
41,96114.4775780568
42,96114.4775780568
43,101913.24207700437
44,94288.35873928425
45,101321.99744540939
46,84777.82875972212
47,97852.96764730333
48,97499.74015168796
49,104024.40207726252
50,103958.11844805276
51,96002.24139194035
52,96002.24139194035
53,96002.24139194035
54,90837.1391290076
55,103287.26178053312
56,97488.49728158556
57,115367.31925504288
58,109267.81899896977
59,115915.11755098165
60,102364.76189440502
61,95710.46722846401
62,102760.35395726058
63,102760.35395726058
64,110655.64309088448
65,110655.64309088448
66,110694.257534801
67,102798.96840117712
68,96017.20495037758
69,107361.05495546575
70,107361.05495546575
71,106968.43615796705
72,88247.3593907473
73,67920.3427877847
74,69996.67214567224
75,64611.81139689
76,78434.83496209391
77,78434.83496209391
78,60394.7555433817
79,60394.7555433817
80,74288.20801023878
81,81754.05020959949
82,89149.74492581835
83,89149.74492581835
84,98798.08899806914
85,105335.475839916
86,122652.3197845729
87,136967.27574516734
88,149738.53234345675
89,149738.53234345675
90,149738.53234345675
91,136256.97840720808
92,136229.2198115352
93,136229.2198115352
94,141856.45168266702
95,133422.7916763799
96,121784.82922997914
97,137896.77966597618
98,131051.56962753639
99,105836.40956243944
100,117571.96809530252
101,110918.79988653184
102,104072.73218519971
103,104072.73218519971
104,112071.54922551374
105,124887.55346338748
106,120710.20815711988
107,120710.20815711988
108,114072.81197317842
109,103923.1750314009
110,111519.54455802843
111,130904.4201184738
112,128791.22985399493
113,134104.42565280202
114,120619.71151589324
115,114992.47964476144
116,114992.47964476144
117,122593.78303709006
118,135883.63259574873
119,135883.63259574873
120,143525.8662385818
121,113530.00060344397
122,107010.43429000987
123,119063.79285076787
124,131777.74772746727
125,109587.62855552969
126,103147.4933736063
127,96373.46883247464
128,89962.54181147504
129,82415.68955611247
130,91511.09403201938
131,83893.9447642244
132,77453.06729489054
133,77453.06729489054
134,70633.84206633085
135,76953.87949989089
136,92036.13285757673
137,98815.86015725281
138,92133.59269319191
139,93579.49154951266
140,90946.67990558133
141,83676.15266323548
142,83676.15266323548
143,83676.15266323548
144,83676.15266323548
145,59707.67449457279
146,59132.383128251866
147,71977.47864184104
148,78024.11098938463
149,78024.11098938463
150,83537.35959818117
151,97329.30832951788
152,97778.41014763112
153,76559.48939196569
154,76559.48939196569
155,76559.48939196569
156,96798.95822309122
157,96798.95822309122
158,96671.95479841401
159,90625.32245087042
