,0
0,69.36267
1,54.403553
2,14.547435
3,1.750244
4,57.451443
5,13.825854
6,33.395256
7,16.508202
8,15.444361
9,3.0873022
10,13.187864
11,24.566668
12,34.24293
13,16.926374
14,32.18156
15,36.07568
16,49.91357
17,13.169887
18,61.946003
19,26.504316
20,39.06161
21,32.26452
22,34.037327
23,24.75
24,8.616667
25,74.562416
26,27.159977
27,25.309488
28,46.752403
29,21.083334
30,49.98523
31,15.573295
32,12.437647
33,52.60264
34,28.254673
35,8.318354
36,26.013372
37,3.6919916
38,57.947777
39,13.423124
40,36.483334
41,35.18266
42,8.16818
43,13.285636
44,20.114
45,4.415088
46,0.6045302
47,20.165321
48,10.44513
49,17.645893
50,9.03939
51,4.95
52,32.64664
53,14.515257
54,32.80431
55,15.976331
56,70.8186
57,25.011166
58,68.96963
59,49.531055
60,38.695457
61,3.8899853
62,51.614365
63,18.855854
64,47.821964
65,14.907686
66,16.790567
67,31.72384
68,3.8340623
69,2.5666666
70,44.538387
71,10.994507
72,16.866667
73,10.46404
74,28.268904
75,2.4437973
76,32.78517
77,26.255878
78,22.01944
79,23.608086
80,20.35
81,47.65342
82,4.2166667
83,19.25
84,42.48769
85,26.043203
86,11.895497
87,36.965755
88,7.47145
89,6.128947
90,21.355625
91,3.3813715
92,0.03251765
93,36.266914
94,2.5750797
95,0.55
96,55.74193
97,31.058651
98,51.626163
99,17.16898
100,33.0
101,43.03502
102,24.816862
103,22.366667
104,25.349426
105,19.913717
106,40.976204
107,39.483837
108,12.480211
109,8.616667
110,37.36675
111,16.969149
112,70.52077
113,29.440735
114,13.717287
115,35.014217
116,3.44542
117,3.9429662
118,17.901634
119,16.534061
120,45.7042
121,34.50343
122,13.336162
123,8.281809
124,41.52617
125,2.9333334
126,61.906406
127,47.962833
128,19.182413
129,60.4618
130,72.28883
131,2.3457074
132,19.21256
133,24.49357
134,40.74833
135,2.2647645
136,20.179098
137,28.179087
138,25.3
139,72.70931
140,14.452305
141,25.148901
142,26.766666
143,18.636248
144,25.728724
145,10.357134
146,21.626207
147,14.483334
148,28.2019
149,28.85255
150,77.87317
151,29.379904
152,27.714033
153,10.969905
154,10.891926
155,47.674854
156,10.181507
157,28.188416
158,22.402166
159,29.29203
160,21.070623
161,7.1288548
162,19.95684
163,51.3478
164,8.805567
165,78.164215
166,3.2491617
167,21.271559
168,50.783333
169,27.433958
170,10.143167
171,39.05
172,72.48416
173,20.757603
174,2.9048588
175,20.23269
176,35.369473
177,8.199209
178,4.4
179,29.324709
180,53.656292
181,32.3083
182,16.25346
183,36.655216
184,17.783333
185,33.480515
186,26.896036
187,26.613966
188,76.74964
189,7.4731445
190,14.9284725
191,32.454548
192,24.660248
193,39.057945
194,3.3773916
195,22.75156
196,27.133333
197,32.19418
198,6.0116653
199,35.97384
200,28.691862
201,8.994313
202,31.887196
203,7.1905913
204,29.56227
205,45.054073
206,44.39614
207,26.968782
208,16.35141
209,25.509945
210,9.695531
211,19.561768
212,26.598541
213,28.943274
214,47.595455
215,61.023952
216,5.0664086
217,14.666667
218,15.216666
219,70.67983
220,13.875676
221,29.333334
222,9.296345
223,18.474894
224,53.62528
225,7.5260324
226,10.307623
227,7.516667
228,47.378124
229,48.28718
230,3.7411585
231,18.997837
232,20.740318
233,19.043339
234,41.500393
235,44.953865
236,15.206019
237,56.65
238,15.500652
239,34.25999
240,29.361034
241,30.715109
242,67.097496
243,24.12012
244,3.2213664
245,48.4
246,22.291615
247,19.792025
248,8.899052
249,23.585531
250,45.90087
251,12.283334
252,43.800274
253,12.749356
254,29.802101
255,24.32628
256,14.116667
257,25.3
258,43.137276
259,20.589449
260,32.03347
261,32.336136
262,19.329523
263,17.134745
264,7.425073
265,40.167652
266,31.909552
267,29.15
268,44.386997
269,45.154167
270,13.312631
271,39.42883
272,30.286163
273,25.169886
274,13.886356
275,7.7211018
276,23.074734
277,15.799058
278,5.344661
279,24.794552
280,5.377904
281,16.048191
282,23.677973
283,20.469473
284,21.083334
285,5.4664326
286,12.290872
287,28.029633
288,10.029101
289,7.3640747
290,0.55
291,22.916666
292,54.083332
293,16.604164
294,43.53804
295,19.276386
296,15.287689
297,32.040524
298,9.304357
299,17.67614
300,28.848955
301,27.377733
302,11.770618
303,39.754673
304,36.22467
305,16.562239
306,0.80671704
307,28.38755
308,50.420387
309,15.077822
310,3.8160486
311,28.754147
312,10.816667
313,48.162395
314,30.721088
315,11.770406
316,8.223671
317,20.10377
318,7.8126073
319,12.332163
320,39.750797
321,41.427967
322,47.813713
323,16.34429
324,1.3471167
325,9.201505
326,27.269646
327,12.283334
328,36.43915
329,11.253535
330,39.379734
331,17.181238
332,26.10186
333,42.44906
334,10.634398
335,9.066726
336,33.42246
337,44.0724
338,16.133333
339,18.333334
340,16.162163
341,15.2949505
342,36.596264
343,0.9166667
344,9.386695
345,4.71425
346,32.847393
347,18.4594
348,34.384266
349,8.853789
350,5.6200085
351,24.8295
352,2.149761
353,10.8462715
354,27.883451
355,25.85
356,47.585575
357,15.060169
358,22.02824
359,14.109607
360,22.568789
361,19.237968
362,26.90166
363,16.61475
364,9.283919
365,4.1973305
366,20.632036
367,27.838156
368,36.476788
369,40.11859
370,15.361044
371,12.283334
372,21.45
373,29.789978
374,26.583334
375,22.948534
376,16.236452
377,0.55
378,11.203833
379,16.993153
380,41.364338
381,29.392317
382,10.629688
383,24.585798
384,29.612526
385,26.1333
386,6.7038097
387,18.982338
388,12.772595
389,27.514402
390,10.949626
391,37.182983
392,19.312313
393,6.942365
394,23.055058
395,3.5524094
396,17.003893
397,2.820929
398,42.083206
399,41.1816
400,6.1289115
401,29.646524
402,15.960039
403,9.370655
404,24.720894
405,17.233334
406,29.879969
407,26.443174
408,10.051105
409,12.29205
410,10.083333
411,39.756454
412,8.310497
413,17.038824
414,44.4107
415,11.229784
416,1.1
