Home,Work/Study,Leisure,Errands,Reference_Total
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
10.7268705368042,0.0,306.7790222167969,0.0,317.5058927536011
10.7268705368042,0.0,317.6813974380493,0.0,328.4082679748535
10.7268705368042,0.0,317.6813974380493,0.0,328.4082679748535
10.7268705368042,0.0,317.6813974380493,0.0,328.4082679748535
10.7268705368042,0.0,10.902375221252441,0.0,21.62924575805664
10.7268705368042,0.0,10.902375221252441,0.0,21.62924575805664
10.7268705368042,0.0,10.902375221252441,0.0,21.62924575805664
10.7268705368042,0.0,10.902375221252441,0.0,21.62924575805664
10.7268705368042,0.0,21.87345790863037,0.0,32.60032844543457
10.7268705368042,0.0,21.87345790863037,0.0,32.60032844543457
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,21.87345790863037,10.895203590393066,43.49553203582764
10.7268705368042,0.0,32.87345790863037,10.895203590393066,54.49553203582764
