Home,Work/Study,Leisure,Errands,Reference_Total
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.9288434982299805
0.0,0.0,0.0,0.0,6.9288434982299805
0.0,0.0,0.0,0.0,17.80884552001953
0.0,0.0,0.0,0.0,17.80884552001953
0.0,0.0,0.0,0.0,17.80884552001953
0.0,0.0,0.0,0.0,17.80884552001953
0.0,0.0,0.0,0.0,31.725600719451904
0.0,0.0,0.0,0.0,31.725600719451904
0.0,0.0,0.0,0.0,53.57641363143921
0.0,0.0,0.0,0.0,64.53461027145386
0.0,0.0,0.0,0.0,64.53461027145386
0.0,0.0,0.0,0.0,64.53461027145386
0.0,0.0,0.0,0.0,71.5021858215332
0.0,0.0,0.0,0.0,71.5021858215332
0.0,0.0,0.0,0.0,71.5021858215332
0.0,0.0,0.0,0.0,78.4656753540039
0.0,0.0,0.0,0.0,78.4656753540039
0.0,0.0,0.0,0.0,78.4656753540039
0.0,0.0,0.0,0.0,89.13980865478516
0.0,0.0,0.0,0.0,89.13980865478516
0.0,0.0,0.0,0.0,89.13980865478516
0.0,0.0,0.0,0.0,89.13980865478516
0.0,0.0,0.0,0.0,89.13980865478516
0.0,0.0,0.0,0.0,96.05344772338867
0.0,0.0,0.0,0.0,102.94555759429932
0.0,0.0,0.0,0.0,109.94555759429932
0.0,0.0,0.0,0.0,123.84749794006348
0.0,0.0,0.0,0.0,156.06656455993652
0.0,0.0,0.0,0.0,156.06656455993652
0.0,0.0,0.0,0.0,167.06656455993652
0.0,0.0,0.0,0.0,167.06656455993652
0.0,0.0,0.0,0.0,167.06656455993652
0.0,0.0,0.0,0.0,167.06656455993652
0.0,0.0,0.0,0.0,174.06656455993652
0.0,0.0,0.0,0.0,167.14980936050415
0.0,0.0,0.0,0.0,174.12484550476074
0.0,0.0,0.0,0.0,174.12484550476074
0.0,0.0,0.0,0.0,167.19600200653076
0.0,0.0,0.0,0.0,192.14274549484253
0.0,0.0,0.0,0.0,210.11642456054688
0.0,0.0,0.0,0.0,199.44229125976562
0.0,0.0,0.0,0.0,199.44229125976562
0.0,0.0,0.0,0.0,206.18273258209229
0.0,0.0,0.0,0.0,227.12015581130981
0.0,0.0,0.0,0.0,234.07741355895996
0.0,0.0,0.0,0.0,258.9596562385559
0.0,0.0,0.0,0.0,258.9596562385559
0.0,0.0,0.0,0.0,265.94022703170776
0.0,0.0,0.0,0.0,265.94022703170776
0.0,0.0,0.0,0.0,272.8211350440979
0.0,0.0,0.0,0.0,273.23457860946655
0.0,0.0,0.0,0.0,255.354576587677
0.0,0.0,0.0,0.0,255.354576587677
0.0,0.0,0.0,0.0,266.3088393211365
0.0,0.0,0.0,0.0,277.251229763031
