,0
0,14.340335
1,10.443939
2,9.323478
3,11.926677
4,10.2682905
5,9.556612
6,10.7203455
7,9.612784
8,8.715617
9,6.2146726
10,0.18136968
11,2.6470163
12,12.139507
13,9.778501
14,9.864384
15,10.6709
16,1.7913052
17,5.906118
18,10.263961
19,9.639354
20,9.889113
21,9.89833
22,10.967811
23,1.2078285
24,7.54269
25,10.774002
26,1.2833333
27,10.448203
28,11.608693
29,5.5411654
30,4.6758924
31,11.31071
32,10.152604
33,8.1809225
34,13.02494
35,2.4363601
36,7.962519
37,3.2585592
38,9.597712
39,10.224091
40,12.399156
41,11.747055
42,8.757288
43,11.453641
44,9.855986
45,9.6300335
46,0.12290477
47,5.133333
48,7.721663
49,10.589585
50,8.712238
51,10.999296
52,10.373594
53,11.418991
54,10.160776
55,5.866667
56,9.061509
57,11.044397
58,13.003389
59,9.262232
60,12.745407
61,11.003402
62,9.691569
63,2.5666666
64,6.913954
65,13.479936
66,1.5177463
67,7.1104507
68,9.896226
69,9.34585
70,8.834772
71,10.416003
72,10.057794
73,4.9261923
74,5.989154
75,12.217151
76,9.131328
77,11.446051
78,0.041034482
79,9.093842
80,1.9818543
81,7.4645824
82,11.240069
83,9.190799
84,10.929638
85,9.932042
86,9.366776
87,8.349949
88,1.57045
89,2.4332073
90,8.541346
91,12.673019
92,2.694262
93,7.040143
94,3.7539139
95,4.258699
96,3.749172
97,11.177474
98,0.9166667
99,8.870233
100,11.6705265
101,8.818083
102,9.665478
103,3.7450652
104,6.794929
105,10.548024
106,7.9452057
107,0.07145934
108,12.135573
109,6.902351
110,6.018665
111,2.6140742
112,9.93983
113,2.69213
114,7.6287465
115,9.96652
116,10.371725
117,8.83921
118,9.483601
119,9.518676
120,11.040874
121,9.042649
122,12.404573
123,1.9186475
124,5.696946
125,10.26853
126,9.183738
127,7.9602804
128,10.73032
129,9.869205
130,12.101268
131,11.942824
132,12.051318
133,1.4913348
134,6.9546967
135,8.386254
136,10.937491
137,9.047257
138,10.252727
139,9.182998
140,7.682628
141,8.461794
142,4.530867
143,2.1453815
144,1.2357394
145,7.6437807
146,3.7087739
147,9.506743
148,9.115287
149,9.158837
150,9.561606
151,10.960658
152,10.278703
153,0.5932385
154,10.612595
155,9.407506
156,2.543158
157,2.8131404
158,5.323648
159,5.866667
160,4.850056
161,4.2111607
162,5.393625
163,9.675649
164,8.824494
165,10.938289
166,2.0166667
167,5.2540827
168,9.716696
169,1.8333334
170,8.741459
171,10.099794
172,9.476462
173,0.11010965
174,8.146418
175,0.27163824
176,6.327112
177,5.7185884
178,0.17382042
179,7.654283
180,7.550241
181,2.9756765
182,6.622421
183,8.144698
184,2.9333334
185,6.8014603
186,9.816355
187,14.32913
188,1.9756293
189,2.2
190,5.6183605
191,11.544825
192,10.119002
193,8.927703
194,0.02674262
195,6.3890743
196,3.8710835
197,1.6050339
198,3.7619538
199,3.7430792
200,8.752466
201,10.9152
202,9.109576
203,2.4629433
204,6.1301394
205,7.15
206,1.5676948
207,11.228627
208,2.7889943
209,7.6447988
210,9.767453
211,12.706531
212,9.835576
213,12.850246
214,8.160551
215,9.613872
216,4.1628284
217,4.7226872
218,11.978734
219,12.045491
220,5.5
221,3.3626292
222,1.6917651
223,7.693065
224,9.396964
225,8.583638
226,0.5946293
227,9.996692
228,12.575639
229,10.486788
230,8.138789
231,0.3635088
232,9.450461
233,10.92749
234,10.554606
235,14.611681
236,3.7738347
237,6.9532256
238,7.1292853
239,8.166246
240,3.4040866
241,7.88506
242,10.571164
243,10.915268
244,6.7985463
245,1.8282468
246,3.1103294
247,5.3840613
248,2.962841
249,7.191935
250,2.5506415
251,7.9813266
252,11.314977
253,3.1874578
254,6.0924563
255,11.270669
256,2.934747
257,4.830611
258,10.795475
259,7.2020025
260,9.47347
261,4.0864286
