ACL00 (Labels);Total;Work and study;Household and family care activities;Leisure social and associative life except TV and video;Home
STARTIME (Labels);;;;;
From 17:30 to 17:39;100;9.8;30.7;21.9;37.6
From 17:40 to 17:49;100;8.9;30;21.2;39.9
From 17:50 to 17:59;100;8.5;28.1;19.1;44.3
From 18:00 to 18:09;100;7.1;26.5;16.7;49.7
From 18:10 to 18:19;100;6.7;25.8;16.8;50.7
From 18:20 to 18:29;100;6.6;26;18;49.4
From 18:30 to 18:39;100;6.6;27.1;19.9;46.4
From 18:40 to 18:49;100;6.7;27.9;21.2;44.2
From 18:50 to 18:59;100;6.7;26.9;22.3;44.1
From 19:00 to 19:09;100;6.6;25.4;25.6;42.4
From 19:10 to 19:19;100;6.7;24.4;26.6;42.3
From 19:20 to 19:29;100;6.7;23.2;27.5;42.6
From 19:30 to 19:39;100;6.8;21.8;28;43.4
From 19:40 to 19:49;100;6.9;20.8;28.5;43.8
From 19:50 to 19:59;100;6.7;19.3;27.9;46.1
From 20:00 to 20:09;100;6.4;16.7;25.9;51
From 20:10 to 20:19;100;6.3;14.9;26.7;52.1
From 20:20 to 20:29;100;6.5;13.9;27.7;51.9
From 20:30 to 20:39;100;6.4;13.6;28.4;51.6
From 20:40 to 20:49;100;6.4;12;28.9;52.7
From 20:50 to 20:59;100;6.3;11.7;29;53
From 21:00 to 21:09;100;6;10.8;28.5;54.7
From 21:10 to 21:19;100;5.8;10;28.4;55.8
From 21:20 to 21:29;100;5.6;9.4;28.1;56.9
From 21:30 to 21:39;100;5.2;8.9;27.5;58.4
From 21:40 to 21:49;100;5.1;8.3;27.1;59.5
From 21:50 to 21:59;100;4.9;7.9;25.6;61.6
From 22:00 to 22:09;100;3.9;8.3;22.9;64.9
From 22:10 to 22:19;100;3.7;7.5;22.7;66.1
From 22:20 to 22:29;100;3.5;6.6;22.3;67.6
From 22:30 to 22:39;100;3;6.2;21.2;69.6
From 22:40 to 22:49;100;2.8;5.8;20.2;71.2
From 22:50 to 22:59;100;2.5;5.4;18.4;73.7
From 23:00 to 23:09;100;1.9;5.2;15.5;77.4
From 23:10 to 23:19;100;1.7;4.3;14.8;79.2
From 23:20 to 23:29;100;1.5;3.9;13.4;81.2
From 23:30 to 23:39;100;1.4;3.5;11.7;83.4
From 23:40 to 23:49;100;1.3;3;10.7;85
From 23:50 to 23:59;100;1.2;2.8;9.4;86.6
